,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
31,4,11,18,25,33,41,49,57,65,73,82,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,6,13,20,27,35,42,50,58,66,74,82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,2,9,15,22,29,37,44,52,59,67,75,83,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,4,11,17,24,31,38,46,53,61,68,76,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,7,13,20,26,33,40,47,54,62,69,77,95,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,3,9,15,22,28,35,42,49,56,63,71,78,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,5,11,17,24,30,37,43,50,57,64,71,78,85,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,2,7,13,19,25,32,38,45,52,59,65,72,79,86,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,4,10,15,21,27,34,40,46,53,59,66,72,79,86,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,1,6,12,17,23,29,35,41,48,54,60,67,73,80,86,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,3,8,14,19,25,31,37,43,49,55,61,67,74,80,87,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,3,7,11,15,19,23,27,31,35,40,44,49,53,58,63,68,73,78,83,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,1,5,8,12,16,20,24,28,32,36,41,45,50,54,59,64,68,73,79,84,89,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,3,6,10,14,17,21,25,29,33,37,42,46,50,55,59,64,69,74,79,84,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,1,4,8,11,15,19,22,26,30,34,38,43,47,51,56,60,65,69,74,79,84,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,2,6,9,13,16,20,24,27,31,35,39,43,48,52,56,61,65,70,75,80,84,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,1,4,7,11,14,18,21,25,29,32,36,40,44,48,53,57,61,66,70,75,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,2,5,9,12,15,19,22,26,30,33,37,41,45,49,53,58,62,66,71,75,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,1,4,7,10,13,17,20,24,27,31,34,38,42,46,50,54,58,62,67,71,76,80,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,2,5,8,11,15,18,21,25,28,32,35,39,43,47,51,55,59,63,67,72,76,81,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,3,6,10,13,16,19,22,26,29,33,36,40,44,47,51,55,59,63,68,72,76,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,2,5,8,11,14,17,20,23,27,30,34,37,41,44,48,52,56,60,64,68,72,77,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,28,31,34,38,41,45,49,53,56,60,64,68,73,77,81,86,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,2,5,8,10,13,16,19,22,25,29,32,35,39,42,46,49,53,57,61,65,69,73,77,82,86,91,95,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,1,3,6,9,12,14,17,20,23,26,30,33,36,40,43,46,50,54,58,61,65,69,73,78,82,86,91,95,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,2,5,7,10,13,16,18,21,24,27,31,34,37,40,44,47,51,54,58,62,66,70,74,78,82,86,91,95,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,1,3,6,8,11,14,17,19,22,25,28,31,35,38,41,44,48,51,55,59,62,66,70,74,78,82,87,91,95,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,2,4,7,10,12,15,18,20,23,26,29,32,35,39,42,45,48,52,55,59,63,67,70,74,78,83,87,91,95,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,1,3,6,8,11,13,16,19,21,24,27,30,33,36,39,42,46,49,52,56,60,63,67,71,75,79,83,87,91,96,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,2,4,7,9,12,14,17,20,22,25,28,31,34,37,40,43,46,50,53,56,60,64,67,71,75,79,83,87,91,95,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,3,6,8,10,13,15,18,21,23,26,29,32,35,38,41,44,47,50,54,57,60,64,68,71,75,79,83,87,37,96,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,2,4,7,9,11,14,16,19,22,24,27,30,32,35,38,41,44,48,51,54,57,61,64,68,72,75,79,81,88,91,96,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,1,3,6,8,10,13,15,17,20,22,25,28,30,33,36,39,42,45,48,51,55,58,61,66,68,72,76,80,83,87,92,96,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,9,11,14,16,18,21,23,26,29,31,34,37,40,46,49,52,55,58,62,62,65,69,72,76,80,84,88,92,96,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,8,10,12,14,17,19,22,24,27,29,32,35,37,40,43,46,49,52,56,59,62,66,69,73,76,80,84,88,92,96,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,9,11,13,15,18,20,23,25,27,30,33,35,38,41,44,47,50,53,56,59,63,66,69,73,76,80,84,88,92,96,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,8,10,12,14,16,19,21,23,26,28,31,33,36,39,42,44,47,50,53,56,60,63,66,70,73,77,80,84,88,92,96,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,9,11,13,15,17,19,22,24,27,29,32,34,37,39,42,45,48,57,54,57,60,63,67,70,73,77,81,84,88,92,96,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,7,10,12,14,16,18,20,23,25,27,30,32,35,37,40,43,46,48,51,54,57,60,64,67,70,74,77,81,84,88,92,96,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,9,10,13,15,17,19,21,23,26,28,30,33,35,38,41,43,46,49,52,55,58,61,64,67,71,74,77,81,85,88,92,96,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,7,9,11,13,15,18,20,22,24,26,29,31,34,36,39,41,44,47,49,52,55,58,61,64,68,71,74,78,81,85,88,92,96,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,6,8,10,12,14,16,18,20,23,25,27,29,32,34,37,39,42,44,47,50,53,56,59,62,65,68,71,74,78,81,85,89,92,96,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,7,9,11,13,15,17,19,21,23,26,28,30,32,35,37,40,42,45,48,50,53,56,59,62,65,68,71,75,78,81,85,89,92,96,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,8,10,12,14,16,18,20,22,24,26,28,31,33,35,38,40,43,45,48,51,54,56,59,62,65,68,72,75,78,82,85,89,92,96,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,6,7,9,11,13,15,17,19,21,23,25,27,29,31,34,36,38,41,43,46,48,51,54,57,60,63,66,69,72,75,78,82,85,89,92,96,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,7,8,10,12,14,15,17,19,21,23,25,28,30,32,34,37,38,44,46,49,52,52,54,57,60,63,66,69,72,75,79,82,85,89,93,96,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,6,7,9,11,13,14,16,17,20,22,24,26,28,30,33,35,37,39,42,44,47,49,52,55,57,60,63,66,69,72,76,79,82,86,89,93,96,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,7,8,10,12,13,15,17,19,21,23,25,27,29,31,33,35,38,40,42,45,47,50,52,55,58,61,64,66,69,73,76,79,82,86,89,93,96,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,6,7,9,11,12,14,16,18,20,21,23,25,27,29,31,34,36,38,40,43,45,48,50,53,55,58,61,64,67,70,73,76,79,82,86,89,93,96,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,5,7,8,10,11,13,15,17,18,20,22,24,26,28,30,32,34,36,39,41,43,46,48,51,53,56,59,61,64,67,70,93,76,79,83,86,89,93,96
