,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
31,1,10,20,29,38,48,58,68,78,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,4,13,22,31,40,50,60,69,79,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,7,15,24,33,42,52,61,71,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,1,9,18,26,35,44,53,62,72,81,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,4,12,20,29,37,46,55,64,73,82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,6,14,22,31,39,48,54,65,74,82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,1,9,17,25,33,41,49,58,66,74,83,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,4,11,19,27,35,43,51,59,67,75,83,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,7,14,21,29,37,44,52,60,67,75,83,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,2,9,16,23,31,38,46,53,61,68,76,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,5,11,18,24,33,40,47,54,61,69,77,84,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,7,14,21,28,34,41,48,55,62,70,77,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,3,9,14,23,29,36,42,49,54,63,70,78,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,8,9,11,12,14,16,17,19,21,23,25,26,28,30,32,34,36,39,41,43,45,48,50,53,55,58,60,63,66,68,71,74,77
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,6,7,8,10,12,13,15,16,18,20,21,23,25,27,29,31,33,35,37,39,41,43,46,48,50,53,55,58,60,63,66,69,71,74
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,8,9,11,12,14,15,17,19,20,22,24,26,28,29,31,33,35,37,40,42,44,46,48,51,53,56,58,61,63,66,69,72
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,6,7,8,10,11,13,14,16,18,19,21,23,24,26,28,30,32,34,36,38,40,42,44,47,49,51,54,56,59,61,64,66,69
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,5,6,8,9,11,12,14,15,17,18,20,22,23,25,27,29,30,32,34,36,38,40,43,45,47,49,52,54,56,59,61,64,67
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,6,7,8,10,11,13,14,16,17,19,20,22,24,26,27,29,31,33,35,37,39,41,43,45,47,50,52,54,57,59,62,64
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,5,6,8,9,10,12,13,15,16,18,19,21,23,24,26,28,30,31,33,35,37,39,41,43,46,48,50,52,55,57,59,62
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,7,8,10,11,13,14,15,17,18,20,22,23,25,27,28,30,32,34,36,38,40,42,44,46,48,50,53,55,57,60
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,6,8,9,10,12,13,15,16,18,19,21,22,24,25,27,29,31,32,34,36,38,40,42,44,46,48,51,53,55,58
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,6,7,8,10,11,12,14,15,17,18,20,21,23,24,26,28,29,31,33,35,37,39,41,43,45,47,49,51,53,56
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,7,8,9,10,12,13,14,16,17,19,20,22,23,25,26,28,30,32,33,35,37,39,41,43,45,47,49,51,54
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,5,6,7,8,10,11,12,14,15,16,18,19,21,22,24,25,27,29,30,32,34,36,37,39,41,43,45,47,50,52
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,7,8,9,10,11,13,14,15,17,18,20,21,23,24,26,27,29,31,32,34,36,38,40,42,44,46,48,50
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,10,11,12,13,15,16,17,19,20,22,23,25,26,28,30,31,33,35,36,38,40,42,44,46,48
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,6,7,8,9,10,11,13,14,15,17,18,19,21,22,24,25,27,28,30,32,33,35,37,39,41,42,44,46
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,10,11,12,13,14,16,17,18,20,21,23,24,26,27,29,30,32,34,36,37,39,41,46,45
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,5,6,7,8,9,10,11,12,14,15,16,18,19,20,22,23,25,26,28,29,31,33,34,36,38,39,41,43
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,11,12,13,14,15,17,18,19,21,22,24,25,27,28,30,31,33,35,36,38,40
